State,City,City Population,FacebookPlaceId,Lon,Lat,Is300MilesFromCC
TX,Lindale,6066,,,,
TX,Alpine,6065,,,,
TX,Littlefield,5988,,,,
TX,Slaton,5967,,,,
TX,Yoakum,5960,,,,
TX,Mont Belvieu,5946,,,,
TX,Progreso,5938,,,,
TX,Luling,5903,,,,
TX,Scenic Oaks,5870,,,,
TX,Windcrest,5866,,,,
TX,Sansom Park,5836,,,,
TX,Palmview,5792,,,,
TX,Edna,5770,,,,
TX,Marlin,5701,,,,
TX,Canutillo,5695,,,,
TX,Anthony,5665,,,,
TX,Homestead Meadows South,5659,,,,
TX,Rockdale,5643,,,,
TX,Doffing,5640,,,,
TX,Hutchins,5627,,,,
TX,Pecan Plantation,5555,,,,
TX,Carrizo Springs,5542,,,,
TX,Rusk,5541,,,,
TX,Cameron,5523,,,,
TX,Atlanta,5487,,,,
TX,Sinton,5449,,,,
TX,Breckenridge,5441,,,,
TX,Post,5432,,,,
TX,Wake Village,5425,,,,
TX,Pecan Acres,5416,,,,
TX,Terrell Hills,5397,,,,
TX,Willow Park,5340,,,,
TX,Center,5326,,,,
TX,Lakehills,5304,,,,
TX,Diboll,5303,,,,
TX,Brady and Paloma Creek South,5298,,,,
TX,Brookshire,5265,,,,
TX,Nolanville,5231,,,,
TX,Palmview South,5221,,,,
TX,Gilmer and Bulverde,5184,,,,
TX,Livingston,5144,,,,
TX,McGregor,5118,,,,
TX,Granite Shoals,5114,,,,
TX,Giddings,5106,,,,
TX,Bowie,5085,,,,
TX,Muleshoe,5082,,,,
TX,Pinehurst CDP,5067,,,,
TX,Port Isabel,5060,,,,
TX,Krum,5020,,,,
TX,Midway North,4990,,,,
TX,San Leon,4987,,,,
TX,Lake Worth,4960,,,,
TX,Medina,4947,,,,
TX,Laureles,4931,,,,
TX,Falfurrias,4925,,,,
TX,Wolfforth,4922,,,,
TX,Shady Hollow,4895,,,,
TX,Hudson,4889,,,,
TX,Penitas,4886,,,,
TX,Denver City,4871,,,,
TX,Hunters Creek Village,4846,,,,
TX,Primera,4843,,,,
TX,Homestead Meadows North,4840,,,,
TX,Mathis,4810,,,,
TX,Devine,4809,,,,
TX,Hebbronville,4797,,,,
TX,Briar,4767,,,,
TX,Rio Bravo,4762,,,,
TX,Barrett,4737,,,,
TX,Tulia,4728,,,,
TX,Mineola,4686,,,,
TX,La Grange,4680,,,,
TX,Madisonville,4672,,,,
TX,New Boston,4661,,,,
TX,Perezville,4655,,,,
TX,Pittsburg,4651,,,,
TX,Zapata,4646,,,,
TX,Palacios,4645,,,,
TX,Meadows Place,4621,,,,
TX,Parker,4610,,,,
TX,Hickory Creek,4596,,,,
TX,Savannah,4592,,,,
TX,Hearne,4523,,,,
TX,Sandy Oaks and Lost Creek,4498,,,,
TX,Morgan's Point Resort,4465,,,,
TX,Castle Hills,4460,,,,
TX,Coleman,4406,,,,
TX,Dilley,4358,,,,
TX,Jacksboro,4357,,,,
TX,Pilot Point,4342,,,,
TX,Jourdanton,4336,,,,
TX,Caldwell,4330,,,,
TX,Groesbeck,4318,,,,
TX,La Joya,4286,,,,
TX,San Diego,4285,,,,
TX,Spring Valley Village,4280,,,,
TX,Dimmitt,4275,,,,
TX,Olivarez,4271,,,,
TX,Smithville,4256,,,,
TX,Cockrell Hill,4251,,,,
TX,Hallsville,4243,,,,
TX,Bellville,4236,,,,
TX,Aledo,4232,,,,
TX,Oak Point,4218,,,,
TX,Sparks,4208,,,,
TX,Comanche,4205,,,,
TX,Cotulla,4178,,,,
TX,Sullivan City,4153,,,,
TX,Port Aransas,4143,,,,
TX,Wilmer,4136,,,,
TX,Alvarado,4124,,,,
TX,Ovilla,4114,,,,
TX,Westway,4107,,,,
TX,Argyle,4100,,,,
TX,Presidio,4099,,,,
TX,Nassau Bay,4052,,,,
TX,Redwood,4009,,,,
TX,Whitesboro,4008,,,,
TX,Bunker Hill Village,3974,,,,
TX,Van Alstyne,3964,,,,
TX,Garden Ridge,3951,,,,
TX,Colorado City,3943,,,,
TX,Central Gardens and Eastland,3934,,,,
TX,Friona,3910,,,,
TX,Richwood,3907,,,,
TX,West Columbia,3899,,,,
TX,Horseshoe Bay,3880,,,,
TX,Canton,3878,,,,
TX,Dripping Springs,3876,,,,
TX,Clyde and North Alamo,3867,,,,
TX,Justin,3847,,,,
TX,Cisco,3803,,,,
TX,Shavano Park,3793,,,,
TX,Sweeny,3750,,,,
TX,Lopezville,3736,,,,
TX,Paloma Creek,3727,,,,
TX,Eagle Lake,3719,,,,
TX,Chula Vista CDP,3690,,,,
TX,Citrus City,3686,,,,
TX,Ballinger,3656,,,,
TX,Columbus,3653,,,,
TX,Crane,3647,,,,
TX,Las Lomas,3646,,,,
TX,Taylor Lake Village,3635,,,,
TX,Crandall and Wills Point,3624,,,,
TX,Dublin,3605,,,,
TX,Venus,3581,,,,
TX,Weston Lakes,3558,,,,
TX,Wyldwood,3536,,,,
TX,Teague,3505,,,,
TX,Llano,3497,,,,
TX,Farmersville,3466,,,,
TX,Doolittle,3463,,,,
TX,Mabank,3446,,,,
TX,Comfort,3441,,,,
TX,Scissors,3427,,,,
TX,Piney Point Village,3422,,,,
TX,West Orange,3419,,,,
TX,Poteet,3415,,,,
TX,Nash,3413,,,,
TX,Clifton,3397,,,,
TX,West Lake Hills,3396,,,,
TX,Aubrey,3391,,,,
TX,Laguna Heights,3386,,,,
TX,Edcouch and Hollywood Park,3365,,,,
TX,Waller,3359,,,,
TX,Kenedy,3337,,,,
TX,Winnsboro,3329,,,,
TX,Reno city,3300,,,,
TX,Karnes City,3299,,,,
TX,Bullard,3287,,,,
TX,Spearman,3278,,,,
TX,Balcones Heights,3277,,,,
TX,Winnie,3270,,,,
TX,Cactus,3259,,,,
TX,Oak Trail Shores,3256,,,,
TX,Big Lake and Mauriceville,3239,,,,
TX,El Cenizo city,3220,,,,
TX,Haskell and Ozona,3217,,,,
TX,South Alamo,3210,,,,
TX,Laguna Vista,3200,,,,
TX,Clarksville,3191,,,,
TX,La Paloma,3157,,,,
TX,Lavon,3140,,,,
TX,Oak Ridge North,3133,,,,
TX,Hideaway,3127,,,,
TX,Grand Saline,3122,,,,
TX,San Carlos,3112,,,,
TX,Olney,3102,,,,
TX,Brazoria,3099,,,,
TX,Annetta,3090,,,,
TX,Howe,3086,,,,
TX,Bishop,3085,,,,
TX,Double Oak,3079,,,,
TX,San Saba,3075,,,,
TX,Potosi,3074,,,,
TX,Combes,3067,,,,
TX,Needville,3065,,,,
TX,Henrietta,3054,,,,
TX,Barton Creek,3037,,,,
TX,Travis Ranch,3032,,,,
TX,Castroville,3028,,,,
TX,Llano Grande,3024,,,,
TX,Edgecliff Village,3021,,,,
TX,Wimberley,3019,,,,
TX,Chandler,3014,,,,
